contract_id,player_id,club_id,contract_type,weekly_wage,start_date,end_date
1,2,1,Permanent,50000,2024-01-01,2028-01-01
2,2,2,Loan,20000,2025-06-01,2026-06-01
3,2,3,Permanent,80000,2025-08-01,2029-08-01
4,1,4,Loan,10000,2025-01-01,2026-01-01
5,5,1,Permanent,40000,2024-07-01,2028-06-30
6,6,1,Permanent,55000,2023-07-01,2027-06-30
7,7,1,Permanent,60000,2024-01-15,2027-06-30
8,8,1,Permanent,45000,2024-08-01,2028-06-30
9,9,1,Permanent,50000,2023-08-01,2026-06-30
10,10,1,Permanent,90000,2022-07-01,2026-06-30
11,10,3,Permanent,75000,2018-07-01,2022-06-30
12,11,1,Permanent,80000,2024-07-01,2029-06-30
13,12,1,Permanent,65000,2021-07-01,2026-06-30
14,13,1,Permanent,50000,2022-07-01,2027-06-30
15,14,2,Permanent,70000,2023-07-01,2027-06-30
16,16,8,Permanent,150000,2026-01-01,2028-12-12
17,17,8,Permanent,99000,2026-01-01,2028-12-12
18,18,8,Permanent,175000,2026-02-01,2028-12-12
