transfer_id,player_id,from_club_id,to_club_id,transfer_date,transfer_fee,transfer_type
1,10,3.0,1,2022-07-01,35000000,Purchase
2,4,3.0,1,2023-08-01,0,Free
3,2,5.0,1,2024-01-01,20000000,Purchase
4,5,2.0,1,2024-07-01,10000000,Purchase
5,1,,4,2025-01-01,500000,Loan
6,2,1.0,2,2025-06-01,1500000,Loan
7,2,1.0,3,2025-08-01,30000000,Purchase
8,6,2.0,1,2023-07-01,20000000,Purchase
9,7,8.0,1,2024-01-15,15000000,Purchase
10,14,1.0,2,2023-07-01,25000000,Purchase
11,16,,8,2026-01-01,0,Free
12,17,,8,2026-02-01,0,Free
13,18,,8,2026-01-01,0,Free
